codigo_dane,departamento,municipio,subregion,habitantes,temperatura_promedio,altura,festival,fecha,sitio_1,maps_1,sitio_2,maps_2,sitio_3,maps_3,hotel_1,wa_1,hotel_2,wa_2,hotel_3,wa_3,latitud,longitud,fuente_geo,bandera_url
"15667","Boyacá","San Luis de Gaceno","","6383.0","23.6","494.0","","","","","","","","","","","","","","","4.85286","-73.14198","geonames",""
"15673","Boyacá","San Mateo","","4790.0","14.1","2463.0","","","","","","","","","","","","","","","6.37704","-72.57797","geonames",""
"15676","Boyacá","San Miguel de Sema","","4612.0","12.4","2539.0","","","","","","","","","","","","","","","5.53492","-73.75144","geonames",""
"15681","Boyacá","San Pablo de Borbur","","18865.0","18.9","1232.0","","","","","","","","","","","","","","","5.66638","-74.13723","geonames",""
"15686","Boyacá","Santana","","7853.0","18.6","1432.0","","","","","","","","","","","","","","","6.04464","-73.51107","geonames",""
"15690","Boyacá","Santa María","","10218.0","16.9","1864.0","","","","","","","","","","","","","","","2.93392","-75.63178","geonames",""
"15693","Boyacá","Santa Rosa de Viterbo","","13249.0","11.9","2960.0","","","","","","","","","","","","","","","5.88515","-73.01344","geonames",""
"15696","Boyacá","Santa Sofía","","3121.0","10.7","2923.0","","","","","","","","","","","","","","","5.70213","-73.62976","geonames",""
"15720","Boyacá","Sativanorte","","2775.0","8.0","3487.0","","","","","","","","","","","","","","","6.10584","-72.7532","geonames",""
"15723","Boyacá","Sativasur","","1351.0","10.8","2977.0","","","","","","","","","","","","","","","6.07102","-72.71509","geonames",""
"15740","Boyacá","Siachoque","","8894.0","8.9","3196.0","","","","","","","","","","","","","","","5.46903","-73.23448","geonames",""
"15753","Boyacá","Soatá","","10945.0","16.8","1979.0","","","","","","","","","","","","","","","6.33369","-72.68283","geonames",""
"15755","Boyacá","Socotá","","10295.0","7.5","3407.0","","","","","","","","","","","","","","","5.90898","-72.58113","geonames",""
"15757","Boyacá","Socha","","7593.0","7.0","3581.0","","","","","","","","","","","","","","","5.92926","-72.70072","geonames",""
"15759","Boyacá","Sogamoso","","111336.0","14.2","2490.0","","","","","","","","","","","","","","","5.71434","-72.93391","geonames",""
"15761","Boyacá","Somondoco","","4359.0","15.1","2100.0","","","","","","","","","","","","","","","4.96969","-73.42855","geonames",""
"15762","Boyacá","Sora","","3025.0","11.8","2724.0","","","","","","","","","","","","","","","5.58076","-73.44335","geonames",""
"15763","Boyacá","Sotaquirá","","8966.0","10.6","2930.0","","","","","","","","","","","","","","","5.76179","-73.28594","geonames",""
"15764","Boyacá","Soracá","","5353.0","10.6","2945.0","","","","","","","","","","","","","","","5.49602","-73.31892","geonames",""
"15774","Boyacá","Susacón","","3698.0","7.9","3575.0","","","","","","","","","","","","","","","6.18607","-72.75673","geonames",""
"15776","Boyacá","Sutamarchán","","6120.0","13.6","2420.0","","","","","","","","","","","","","","","5.61549","-73.65249","geonames",""
"15778","Boyacá","Sutatenza","","4566.0","15.5","1877.0","","","","","","","","","","","","","","","5.02638","-73.43372","geonames",""
"15790","Boyacá","Tasco","","6925.0","6.5","3636.0","","","","","","","","","","","","","","","5.84817","-72.75386","geonames",""
"15798","Boyacá","Tenza","","4651.0","16.4","1736.0","","","","","","","","","","","","","","","5.07083","-73.42459","geonames",""
"15804","Boyacá","Tibaná","","9711.0","12.4","2397.0","","","","","","","","","","","","","","","5.28461","-73.42777","geonames",""
"15806","Boyacá","Tibasosa","","12626.0","12.9","2666.0","","","","","","","","","","","","","","","5.74722","-73.01091","geonames",""
"15808","Boyacá","Tinjacá","","2939.0","13.5","2467.0","","","","","","","","","","","","","","","5.56637","-73.71053","geonames",""
"15810","Boyacá","Tipacoque","","3206.0","11.1","2917.0","","","","","","","","","","","","","","","6.39691","-72.7219","geonames",""
"15814","Boyacá","Toca","","10561.0","11.8","2781.0","","","","","","","","","","","","","","","5.55822","-73.18539","geonames",""
"15816","Boyacá","Togüí","","5229.0","15.7","1909.0","","","","","","","","","","","","","","","5.89434","-73.51366","geonames",""
"15820","Boyacá","Tópaga","","3683.0","12.0","2891.0","","","","","","","","","","","","","","","5.77484","-72.82837","geonames",""
"15822","Boyacá","Tota","","5676.0","9.8","3169.0","","","","","","","","","","","","","","","5.50226","-73.0065","geonames",""
"15832","Boyacá","Tununguá","","1620.0","21.1","954.0","","","","","","","","","","","","","","","5.708","-73.95878","geonames",""
"15835","Boyacá","Turmequé","","7582.0","12.4","2477.0","","","","","","","","","","","","","","","5.3062","-73.50875","geonames",""
"15837","Boyacá","Tuta","","8984.0","12.0","2732.0","","","","","","","","","","","","","","","5.64588","-73.21399","geonames",""
"15839","Boyacá","Tutazá","","2254.0","9.1","3335.0","","","","","","","","","","","","","","","6.05133","-72.87963","geonames",""
"15842","Boyacá","Umbita","","10105.0","11.0","2675.0","","","","","","","","","","","","","","","5.18411","-73.48341","geonames",""
"15861","Boyacá","Ventaquemada","","14404.0","9.8","3046.0","","","","","","","","","","","","","","","5.35987","-73.55032","geonames",""
"15879","Boyacá","Viracachá","","3477.0","10.5","2847.0","","","","","","","","","","","","","","","5.44107","-73.26679","geonames",""
"15897","Boyacá","Zetaquira","","5171.0","16.6","1685.0","","","","","","","","","","","","","","","5.25824","-73.18275","geonames",""
"17001","Caldas","Manizales","","434403.0","13.8","2144.0","","","","","","","","","","","","","","","5.0668","-75.50684","geonames",""
"17013","Caldas","Aguadas","","20712.0","14.6","2146.0","","","","","","","","","","","","","","","5.61161","-75.45624","geonames",""
"17042","Caldas","Anserma","","35097.0","19.0","1348.0","","","","","","","","","","","","","","","5.20427","-75.79167","geonames",""
"17050","Caldas","Aranzazu","","9854.0","15.4","1900.0","","","","","","","","","","","","","","","5.27123","-75.49044","geonames",""
"17088","Caldas","Belalcázar","","36977.0","18.9","1441.0","","","","","","","","","","","","","","","2.64644","-75.97269","geonames",""
"17174","Caldas","Chinchiná","","68512.0","18.6","1382.0","","","","","","","","","","","","","","","4.9825","-75.60361","geonames",""
"17272","Caldas","Filadelfia","","9630.0","16.7","1584.0","","","","","","","","","","","","","","","5.29606","-75.5612","geonames",""
"17380","Caldas","La Dorada","","81950.0","25.5","176.0","","","","","","","","","","","","","","","5.44783","-74.66311","geonames",""
"17388","Caldas","La Merced","","6752.0","21.1","951.0","","","","","","","","","","","","","","","5.3806","-75.58842","geonames",""
"17433","Caldas","Manzanares","","16532.0","16.3","1867.0","","","","","","","","","","","","","","","5.25397","-75.15403","geonames",""
"17442","Caldas","Marmato","","8485.0","18.9","1220.0","","","","","","","","","","","","","","","5.47554","-75.5971","geonames",""
"17444","Caldas","Marquetalia","","12146.0","17.7","1554.0","","","","","","","","","","","","","","","5.29659","-75.05496","geonames",""
"17446","Caldas","Marulanda","","3489.0","8.3","3302.0","","","","","","","","","","","","","","","5.21852","-75.31337","geonames",""
"17486","Caldas","Neira","","20495.0","15.6","1953.0","","","","","","","","","","","","","","","5.1665","-75.52001","geonames",""
"17495","Caldas","Norcasia","","6903.0","23.4","541.0","","","","","","","","","","","","","","","5.63732","-74.8551","geonames",""
"17513","Caldas","Pácora","","13214.0","16.6","1809.0","","","","","","","","","","","","","","","5.52708","-75.4593","geonames",""
"17524","Caldas","Palestina","","13560.0","17.5","1572.0","","","","","","","","","","","","","","","5.0161","-75.62854","geonames",""
"17541","Caldas","Pensilvania","","26426.0","11.0","2906.0","","","","","","","","","","","","","","","5.3884","-75.2042","geonames",""
"17614","Caldas","Riosucio","","54537.0","15.8","2055.0","","","","","","","","","","","","","","","5.45","-75.75","geonames",""
"17616","Caldas","Risaralda","","10679.0","19.8","1182.0","","","","","","","","","","","","","","","5.11237","-75.75861","geonames",""
"17653","Caldas","Salamina","","20288.0","11.6","2716.0","","","","","","","","","","","","","","","5.37014","-75.41548","geonames",""
"17662","Caldas","Samaná","","17466.0","20.6","1011.0","","","","","","","","","","","","","","","5.54061","-74.99346","geonames",""
"17665","Caldas","San José","","7572.0","18.6","1306.0","","","","","","","","","","","","","","","5.07089","-75.81292","geonames",""
"17777","Caldas","Supía","","26571.0","20.0","1167.0","","","","","","","","","","","","","","","5.45303","-75.65072","geonames",""
"17867","Caldas","Victoria","","9165.0","25.1","233.0","","","","","","","","","","","","","","","5.45666","-74.84061","geonames",""
"17873","Caldas","Villamaría","","46322.0","10.3","2975.0","","","","","","","","","","","","","","","4.95078","-75.4368","geonames",""
"17877","Caldas","Viterbo","","12432.0","20.5","976.0","","","","","","","","","","","","","","","5.06242","-75.87159","geonames",""
"18001","Caquetá","Florencia","","168346.0","24.8","560.0","","","","","","","","","","","","","","","1.61549","-75.60412","geonames",""
"18029","Caquetá","Albania","","29148.0","26.6","86.0","","","","","","","","","","","","","","","11.1597","-72.5856","geonames",""
"18094","Caquetá","Belén de Los Andaquies","","9075.0","22.7","522.0","","","","","","","","","","","","","","","1.41667","-75.91667","geonames",""
"18150","Caquetá","Cartagena del Chairá","","28678.0","25.1","220.0","","","","","","","","","","","","","","","0.85246","-74.6059","geonames",""
"18205","Caquetá","Curillo","","11121.0","24.7","234.0","","","","","","","","","","","","","","","1.09861","-76.0304","geonames",""
"18247","Caquetá","El Doncello","","21547.0","25.0","368.0","","","","","","","","","","","","","","","1.7086","-75.28588","geonames",""
"18256","Caquetá","El Paujil","","13014.0","25.4","294.0","","","","","","","","","","","","","","","1.57085","-75.31403","geonames",""
"18410","Caquetá","La Montañita","","22181.0","25.3","266.0","","","","","","","","","","","","","","","1.46389","-75.30363","geonames",""
"18460","Caquetá","Milán","","11487.0","25.2","237.0","","","","","","","","","","","","","","","1.15382","-75.54606","geonames",""
"18479","Caquetá","Morelia","","3718.0","24.9","255.0","","","","","","","","","","","","","","","1.4823","-75.72052","geonames",""
