codigo_dane,departamento,municipio,subregion,provincia,categoria_municipal,cabecera_municipal,poblacion,altitud_ms_nm,temperatura_promedio,superficie_km2,latitud,longitud,anio_fundacion,gentilicio,festival_principal,fecha_inicio,fecha_fin,descripcion_festival,sitio_1,maps_1,sitio_2,maps_2,sitio_3,maps_3,hotel_1,wa_1,hotel_2,wa_2,hotel_3,wa_3,fuente_datos,estado_enriquecimiento,observaciones
08436,Atlántico,Manatí,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pendiente,
08520,Atlántico,Palmar de Varela,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pendiente,
08549,Atlántico,Piojó,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pendiente,
08558,Atlántico,Polonuevo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pendiente,
08560,Atlántico,Ponedera,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pendiente,
08573,Atlántico,Puerto Colombia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pendiente,
08606,Atlántico,Repelón,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pendiente,
08634,Atlántico,Sabanagrande,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pendiente,
08638,Atlántico,Sabanalarga,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pendiente,
08675,Atlántico,Santa Lucía,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pendiente,
08685,Atlántico,Santo Tomás,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pendiente,
08758,Atlántico,Soledad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pendiente,
08770,Atlántico,Suan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pendiente,
08832,Atlántico,Tubará,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pendiente,
08849,Atlántico,Usiacurí,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pendiente,
11001,"Bogotá, D.C.","Bogotá, D.C.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pendiente,
13001,Bolívar,Cartagena,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pendiente,
13006,Bolívar,Achí,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pendiente,
13030,Bolívar,Altos del Rosario,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pendiente,
13042,Bolívar,Arenal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pendiente,
13052,Bolívar,Arjona,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pendiente,
13062,Bolívar,Arroyohondo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pendiente,
13074,Bolívar,Barranco de Loba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pendiente,
13140,Bolívar,Calamar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pendiente,
13160,Bolívar,Cantagallo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pendiente,
13188,Bolívar,Cicuco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pendiente,
13212,Bolívar,Córdoba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pendiente,
13222,Bolívar,Clemencia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pendiente,
13244,Bolívar,El Carmen de Bolívar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pendiente,
13248,Bolívar,El Guamo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pendiente,
13268,Bolívar,El Peñón,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pendiente,
13300,Bolívar,Hatillo de Loba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pendiente,
13430,Bolívar,Magangué,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pendiente,
13433,Bolívar,Mahates,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pendiente,
13440,Bolívar,Margarita,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pendiente,
13442,Bolívar,María La Baja,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pendiente,
13458,Bolívar,Montecristo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pendiente,
